IPv4,IPv6,Response Time (ms),Is a Satellite?,Neighbors
10.33.77.87,::ffff:10.33.77.87,0.1,False,[]
10.33.77.87,::ffff:10.33.77.87,0.102,True,"['10.33.77.87:33001', '10.33.77.87:33065', '10.33.77.87:33067', '10.33.77.87:33100']"
10.33.77.87,::ffff:10.33.77.87,0.089,True,"['10.33.77.87:33001', '10.33.77.87:33005', '10.33.77.87:33067', '10.33.77.87:33065', '10.33.77.87:33078']"
10.33.77.87,::ffff:10.33.77.87,0.075,True,"['10.33.77.87:33001', '10.33.77.87:33005', '10.33.77.87:33100', '10.33.77.87:33078', '10.33.77.87:33065']"
10.33.77.87,::ffff:10.33.77.87,0.078,True,"['10.33.77.87:33001', '10.33.77.87:33100', '10.33.77.87:33067', '10.33.77.87:33065']"
10.33.77.87,::ffff:10.33.77.87,0.123,True,"['10.33.77.87:33005', '10.33.77.87:33100', '10.33.77.87:33078', '10.33.77.87:33001', '10.33.77.87:33067']"
